inst#,actual,predicted,error,prediction
90439,2:0,2:0,,0.821
90440,2:0,2:0,,0.928
90441,2:0,2:0,,0.924
90442,2:0,2:0,,0.711
90443,2:0,2:0,,0.648
90444,2:0,2:0,,0.855
90445,2:0,2:0,,0.873
90446,2:0,2:0,,0.882
90447,2:0,2:0,,0.9
90448,2:0,2:0,,0.895
90449,2:0,2:0,,0.921
90450,2:0,2:0,,0.899
90451,2:0,2:0,,0.87
90452,2:0,2:0,,0.533
90453,2:0,2:0,,0.666
90454,2:0,2:0,,0.866
90455,2:0,2:0,,0.963
90456,2:0,2:0,,0.847
90457,2:0,2:0,,0.968
90458,2:0,2:0,,0.764
90459,2:0,2:0,,0.879
90460,2:0,2:0,,0.963
90461,2:0,2:0,,0.773
90462,2:0,1:1,+,0.561
90463,2:0,2:0,,0.789
90464,2:0,2:0,,0.743
90465,2:0,2:0,,0.827
90466,2:0,2:0,,0.765
90467,2:0,2:0,,0.66
90468,2:0,2:0,,0.765
90469,2:0,2:0,,0.794
90470,2:0,2:0,,0.562
90471,2:0,2:0,,0.659
90472,2:0,2:0,,0.926
90473,2:0,2:0,,0.875
90474,2:0,2:0,,0.83
90475,2:0,2:0,,0.881
90476,2:0,2:0,,0.931
90477,2:0,2:0,,0.869
90478,2:0,2:0,,0.876
90479,2:0,2:0,,0.964
90480,2:0,2:0,,0.827
90481,2:0,2:0,,0.59
90482,2:0,2:0,,0.718
90483,2:0,2:0,,0.729
90484,2:0,2:0,,0.799
90485,2:0,2:0,,0.868
90486,2:0,2:0,,0.823
90487,2:0,2:0,,0.57
90488,2:0,2:0,,0.669
90489,2:0,2:0,,0.891
90490,2:0,2:0,,0.961
90491,2:0,2:0,,0.807
90492,2:0,2:0,,0.898
90493,2:0,2:0,,0.957
90494,2:0,2:0,,0.808
90495,2:0,2:0,,0.971
90496,2:0,2:0,,0.822
90497,2:0,2:0,,0.969
90498,2:0,2:0,,0.831
90499,2:0,1:1,+,0.713
90500,2:0,1:1,+,0.514
90501,2:0,2:0,,0.779
90502,2:0,2:0,,0.564
90503,2:0,2:0,,0.749
90504,2:0,2:0,,0.774
90505,2:0,2:0,,0.603
90506,2:0,2:0,,0.716
90507,2:0,2:0,,0.902
90508,2:0,2:0,,0.907
90509,2:0,2:0,,0.877
90510,2:0,2:0,,0.949
90511,2:0,2:0,,0.94
90512,2:0,2:0,,0.976
90513,2:0,2:0,,0.868
90514,2:0,2:0,,0.969
90515,2:0,2:0,,0.929
90516,2:0,2:0,,0.832
90517,2:0,2:0,,0.646
90518,2:0,2:0,,0.838
90519,2:0,2:0,,0.893
90520,2:0,2:0,,0.963
90521,2:0,2:0,,0.908
90522,2:0,2:0,,0.76
90523,2:0,2:0,,0.971
90524,2:0,2:0,,0.746
90525,2:0,2:0,,0.567
90526,2:0,2:0,,0.869
90527,2:0,2:0,,0.959
90528,2:0,2:0,,0.876
90529,2:0,2:0,,0.922
90530,2:0,2:0,,0.939
90531,2:0,2:0,,0.897
90532,2:0,2:0,,0.825
90533,2:0,2:0,,0.878
90534,2:0,2:0,,0.961
90535,2:0,2:0,,0.831
90536,2:0,2:0,,0.643
90537,2:0,2:0,,0.883
90538,2:0,2:0,,0.941
90539,2:0,2:0,,0.883
90540,2:0,2:0,,0.95
90541,2:0,2:0,,0.789
90542,2:0,2:0,,0.963
90543,2:0,2:0,,0.892
90544,2:0,2:0,,0.867
90545,2:0,2:0,,0.699
90546,2:0,2:0,,0.82
90547,2:0,2:0,,0.893
90548,2:0,2:0,,0.952
90549,2:0,2:0,,0.743
90550,2:0,2:0,,0.639
90551,2:0,2:0,,0.914
90552,2:0,2:0,,0.885
90553,2:0,2:0,,0.869
90554,2:0,2:0,,0.971
90555,2:0,2:0,,0.886
90556,2:0,2:0,,0.868
90557,2:0,2:0,,0.93
90558,2:0,2:0,,0.973
90559,2:0,1:1,+,0.593
90560,2:0,2:0,,0.596
90561,2:0,2:0,,0.921
90562,2:0,2:0,,0.906
90563,2:0,2:0,,0.895
90564,2:0,2:0,,0.646
90565,2:0,2:0,,0.971
90566,2:0,2:0,,0.831
90567,2:0,1:1,+,0.845
90568,2:0,2:0,,0.891
90569,2:0,2:0,,0.859
90570,2:0,2:0,,0.7
90571,2:0,2:0,,0.833
90572,2:0,2:0,,0.886
90573,2:0,1:1,+,0.522
90574,2:0,2:0,,0.755
90575,2:0,2:0,,0.96
90576,2:0,2:0,,0.904
90577,2:0,2:0,,0.892
90578,2:0,2:0,,0.896
90579,2:0,2:0,,0.971
90580,2:0,2:0,,0.955
90581,2:0,2:0,,0.979
90582,2:0,2:0,,0.826
90583,2:0,1:1,+,0.845
90584,2:0,1:1,+,0.845
90585,2:0,1:1,+,0.845
90586,2:0,1:1,+,0.844
90587,2:0,2:0,,0.649
90588,2:0,2:0,,0.881
90589,2:0,2:0,,0.879
90590,2:0,2:0,,0.897
90591,2:0,1:1,+,0.547
90592,2:0,2:0,,0.852
90593,2:0,2:0,,0.866
90594,2:0,2:0,,0.89
90595,2:0,2:0,,0.891
90596,2:0,2:0,,0.941
90597,2:0,2:0,,0.578
90598,2:0,1:1,+,0.658
90599,2:0,2:0,,0.778
90600,2:0,2:0,,0.651
90601,2:0,2:0,,0.862
90602,2:0,2:0,,0.79
90603,2:0,2:0,,0.931
90604,2:0,2:0,,0.817
90605,2:0,2:0,,0.927
90606,2:0,2:0,,0.863
90607,2:0,2:0,,0.923
90608,2:0,2:0,,0.771
90609,2:0,2:0,,0.654
90610,2:0,2:0,,0.955
90611,2:0,2:0,,0.847
90612,2:0,2:0,,0.835
90613,2:0,2:0,,0.743
90614,2:0,2:0,,0.882
90615,2:0,2:0,,0.771
90616,2:0,2:0,,0.773
90617,2:0,2:0,,0.897
90618,2:0,2:0,,0.814
90619,2:0,2:0,,0.644
90620,2:0,2:0,,0.826
90621,2:0,2:0,,0.822
90622,2:0,2:0,,0.802
90623,2:0,2:0,,0.827
90624,2:0,2:0,,0.744
90625,2:0,2:0,,0.831
90626,2:0,2:0,,0.608
90627,2:0,1:1,+,0.565
90628,2:0,2:0,,0.688
90629,2:0,2:0,,0.719
90630,2:0,2:0,,0.578
90631,2:0,2:0,,0.501
90632,2:0,2:0,,0.794
90633,2:0,2:0,,0.673
90634,2:0,2:0,,0.693
90635,2:0,2:0,,0.715
90636,2:0,1:1,+,0.603
90637,2:0,2:0,,0.859
90638,2:0,2:0,,0.73
90639,2:0,2:0,,0.667
90640,2:0,2:0,,0.579
90641,2:0,2:0,,0.666
90642,2:0,2:0,,0.867
90643,2:0,2:0,,0.788
90644,2:0,2:0,,0.676
90645,2:0,2:0,,0.622
90646,2:0,2:0,,0.514
90647,2:0,2:0,,0.595
90648,2:0,1:1,+,0.516
90649,2:0,2:0,,0.557
90650,2:0,1:1,+,0.66
90651,2:0,2:0,,0.553
90652,2:0,2:0,,0.696
90653,2:0,2:0,,0.529
90654,2:0,2:0,,0.608
90655,2:0,2:0,,0.569
90656,2:0,2:0,,0.557
90657,2:0,1:1,+,0.666
90658,2:0,2:0,,0.897
90659,2:0,2:0,,0.601
90660,2:0,2:0,,0.819
90661,2:0,2:0,,0.823
90662,2:0,2:0,,0.817
90663,2:0,2:0,,0.725
90664,2:0,1:1,+,0.529
90665,2:0,2:0,,0.691
90666,2:0,2:0,,0.6
90667,2:0,1:1,+,0.576
90668,2:0,2:0,,0.61
90669,2:0,1:1,+,0.716
90670,2:0,1:1,+,0.831
90671,2:0,2:0,,0.571
90672,2:0,1:1,+,0.609
90673,2:0,1:1,+,0.593
90674,2:0,1:1,+,0.831
90675,2:0,2:0,,0.652
90676,2:0,2:0,,0.516
90677,2:0,1:1,+,0.776
90678,2:0,2:0,,0.5
90679,2:0,2:0,,0.707
90680,2:0,2:0,,0.665
90681,2:0,1:1,+,0.538
90682,2:0,2:0,,0.601
90683,2:0,2:0,,0.569
90684,2:0,2:0,,0.693
90685,2:0,2:0,,0.628
90686,2:0,2:0,,0.617
90687,2:0,2:0,,0.529
90688,2:0,2:0,,0.576
90689,2:0,1:1,+,0.592
90690,2:0,1:1,+,0.648
90691,2:0,1:1,+,0.584
90692,2:0,2:0,,0.802
90693,2:0,2:0,,0.717
90694,2:0,2:0,,0.832
90695,2:0,1:1,+,0.604
90696,2:0,2:0,,0.518
90697,2:0,1:1,+,0.534
90698,2:0,2:0,,0.612
90699,2:0,2:0,,0.552
90700,2:0,1:1,+,0.737
90701,2:0,1:1,+,0.838
90702,2:0,2:0,,0.658
90703,2:0,1:1,+,0.584
90704,2:0,2:0,,0.605
90705,2:0,2:0,,0.545
90706,2:0,1:1,+,0.648
90707,2:0,1:1,+,0.605
90708,2:0,2:0,,0.509
90709,2:0,1:1,+,0.545
90710,2:0,1:1,+,0.56
90711,2:0,1:1,+,0.543
90712,2:0,1:1,+,0.831
90713,2:0,2:0,,0.502
90714,2:0,2:0,,0.693
90715,2:0,2:0,,0.71
90716,2:0,2:0,,0.671
90717,2:0,2:0,,0.602
90718,2:0,2:0,,0.633
90719,2:0,1:1,+,0.592
90720,2:0,2:0,,0.661
90721,2:0,1:1,+,0.513
90722,2:0,1:1,+,0.594
90723,2:0,1:1,+,0.662
90724,2:0,1:1,+,0.658
90725,2:0,1:1,+,0.511
90726,2:0,2:0,,0.502
90727,2:0,1:1,+,0.531
90728,2:0,2:0,,0.544
90729,2:0,1:1,+,0.844
90730,2:0,1:1,+,0.549
90731,2:0,2:0,,0.646
90732,2:0,2:0,,0.504
90733,2:0,2:0,,0.538
90734,2:0,1:1,+,0.775
90735,2:0,1:1,+,0.511
90736,2:0,2:0,,0.723
90737,2:0,1:1,+,0.513
90738,2:0,2:0,,0.608
90739,2:0,1:1,+,0.603
90740,2:0,1:1,+,0.617
90741,2:0,1:1,+,0.691
90742,2:0,1:1,+,0.722
90743,2:0,1:1,+,0.809
90744,2:0,2:0,,0.599
90745,2:0,1:1,+,0.529
90746,2:0,2:0,,0.609
90747,2:0,1:1,+,0.584
90748,2:0,1:1,+,0.573
90749,2:0,1:1,+,0.844
90750,1:1,1:1,,0.801
90751,1:1,1:1,,0.606
90752,1:1,1:1,,0.738
90753,1:1,1:1,,0.543
90754,1:1,2:0,+,0.536
90755,1:1,1:1,,0.834
90756,1:1,2:0,+,0.643
90757,1:1,1:1,,0.589
90758,1:1,1:1,,0.651
90759,1:1,1:1,,0.844
90760,1:1,2:0,+,0.642
90761,1:1,1:1,,0.588
90762,1:1,1:1,,0.644
90763,1:1,1:1,,0.844
90764,1:1,1:1,,0.571
90765,1:1,1:1,,0.587
90766,1:1,1:1,,0.844
90767,1:1,1:1,,0.592
90768,1:1,1:1,,0.519
90769,1:1,1:1,,0.753
90770,2:0,1:1,+,0.836
90771,2:0,1:1,+,0.576
90772,2:0,1:1,+,0.518
90773,2:0,2:0,,0.665
90774,2:0,2:0,,0.559
90775,2:0,2:0,,0.642
90776,2:0,2:0,,0.654
90777,2:0,1:1,+,0.513
90778,2:0,1:1,+,0.532
90779,2:0,2:0,,0.667
90780,2:0,2:0,,0.736
90781,2:0,1:1,+,0.602
90782,2:0,2:0,,0.611
90783,2:0,2:0,,0.816
90784,2:0,1:1,+,0.552
90785,2:0,2:0,,0.617
90786,2:0,2:0,,0.677
90787,2:0,2:0,,0.601
90788,2:0,2:0,,0.747
90789,2:0,2:0,,0.529
90790,2:0,1:1,+,0.518
90791,2:0,2:0,,0.79
90792,2:0,2:0,,0.705
90793,2:0,2:0,,0.67
90794,2:0,1:1,+,0.791
90795,2:0,1:1,+,0.593
90796,2:0,2:0,,0.59
90797,2:0,2:0,,0.773
90798,2:0,2:0,,0.523
90799,2:0,2:0,,0.594
90800,2:0,2:0,,0.58
90801,2:0,2:0,,0.695
90802,2:0,1:1,+,0.507
90803,2:0,2:0,,0.657
90804,2:0,2:0,,0.745
90805,2:0,2:0,,0.681
90806,2:0,2:0,,0.775
90807,2:0,2:0,,0.646
90808,2:0,1:1,+,0.737
90809,2:0,2:0,,0.628
90810,2:0,2:0,,0.594
90811,2:0,2:0,,0.67
90812,2:0,1:1,+,0.702
90813,2:0,2:0,,0.52
90814,2:0,2:0,,0.69
90815,2:0,2:0,,0.568
90816,2:0,2:0,,0.644
90817,2:0,2:0,,0.685
90818,2:0,2:0,,0.535
90819,2:0,1:1,+,0.562
90820,2:0,2:0,,0.728
90821,2:0,2:0,,0.776
90822,2:0,2:0,,0.769
90823,2:0,2:0,,0.619
90824,2:0,2:0,,0.658
90825,2:0,2:0,,0.744
90826,2:0,2:0,,0.768
90827,2:0,2:0,,0.64
90828,2:0,1:1,+,0.586
90829,2:0,2:0,,0.729
90830,2:0,1:1,+,0.522
90831,2:0,2:0,,0.68
90832,2:0,2:0,,0.686
90833,2:0,2:0,,0.589
90834,2:0,2:0,,0.743
90835,2:0,2:0,,0.657
90836,2:0,2:0,,0.691
90837,2:0,1:1,+,0.582
90838,2:0,2:0,,0.716
90839,2:0,2:0,,0.728
90840,2:0,2:0,,0.663
90841,2:0,2:0,,0.775
90842,2:0,2:0,,0.763
90843,2:0,2:0,,0.548
90844,2:0,2:0,,0.519
90845,2:0,2:0,,0.727
90846,2:0,2:0,,0.722
90847,2:0,2:0,,0.81
90848,2:0,2:0,,0.535
90849,2:0,2:0,,0.697
90850,2:0,2:0,,0.733
90851,2:0,2:0,,0.593
90852,2:0,2:0,,0.704
90853,2:0,1:1,+,0.513
90854,2:0,2:0,,0.704
90855,2:0,2:0,,0.7
90856,2:0,2:0,,0.726
90857,2:0,2:0,,0.759
90858,2:0,2:0,,0.54
90859,2:0,2:0,,0.652
90860,2:0,2:0,,0.533
90861,2:0,1:1,+,0.627
90862,2:0,2:0,,0.648
90863,2:0,2:0,,0.51
90864,2:0,2:0,,0.693
90865,2:0,2:0,,0.578
90866,2:0,2:0,,0.693
90867,2:0,2:0,,0.755
90868,2:0,2:0,,0.755
90869,2:0,2:0,,0.655
90870,2:0,2:0,,0.727
90871,2:0,2:0,,0.754
90872,2:0,2:0,,0.706
90873,2:0,2:0,,0.775
90874,2:0,1:1,+,0.821
90875,2:0,2:0,,0.653
90876,2:0,2:0,,0.692
90877,2:0,2:0,,0.573
90878,2:0,2:0,,0.667
90879,2:0,2:0,,0.644
90880,2:0,2:0,,0.761
90881,2:0,2:0,,0.516
90882,2:0,1:1,+,0.515
90883,2:0,2:0,,0.739
90884,2:0,2:0,,0.788
90885,2:0,2:0,,0.671
90886,2:0,2:0,,0.805
90887,2:0,2:0,,0.802
90888,2:0,2:0,,0.767
90889,2:0,2:0,,0.801
90890,2:0,2:0,,0.601
90891,2:0,2:0,,0.701
90892,2:0,2:0,,0.718
90893,2:0,2:0,,0.584
90894,2:0,2:0,,0.629
90895,2:0,2:0,,0.628
90896,2:0,2:0,,0.669
90897,2:0,2:0,,0.762
90898,2:0,2:0,,0.64
90899,2:0,2:0,,0.671
90900,2:0,2:0,,0.657
90901,2:0,2:0,,0.63
90902,2:0,2:0,,0.799
90903,2:0,1:1,+,0.56
90904,2:0,2:0,,0.707
90905,2:0,2:0,,0.806
90906,2:0,2:0,,0.618
90907,2:0,2:0,,0.817
90908,2:0,2:0,,0.576
90909,2:0,2:0,,0.702
90910,2:0,2:0,,0.645
90911,2:0,2:0,,0.819
90912,2:0,2:0,,0.711
90913,2:0,2:0,,0.755
90914,2:0,2:0,,0.783
90915,2:0,2:0,,0.519
90916,2:0,1:1,+,0.557
90917,2:0,2:0,,0.718
90918,2:0,2:0,,0.543
90919,2:0,2:0,,0.783
90920,2:0,2:0,,0.822
90921,2:0,2:0,,0.578
90922,2:0,2:0,,0.775
90923,2:0,2:0,,0.892
90924,2:0,1:1,+,0.562
90925,2:0,2:0,,0.634
90926,2:0,2:0,,0.736
90927,2:0,2:0,,0.742
90928,2:0,1:1,+,0.65
90929,2:0,1:1,+,0.568
90930,2:0,2:0,,0.739
90931,2:0,2:0,,0.793
90932,2:0,2:0,,0.685
90933,2:0,2:0,,0.578
90934,2:0,2:0,,0.753
90935,2:0,2:0,,0.678
90936,2:0,2:0,,0.747
90937,2:0,2:0,,0.642
90938,2:0,2:0,,0.871
90939,2:0,2:0,,0.661
90940,2:0,2:0,,0.917
90941,2:0,2:0,,0.568
90942,2:0,1:1,+,0.838
90943,2:0,2:0,,0.766
90944,2:0,2:0,,0.9
90945,2:0,2:0,,0.769
90946,2:0,2:0,,0.627
90947,2:0,2:0,,0.807
90948,2:0,2:0,,0.804
90949,2:0,2:0,,0.766
90950,2:0,2:0,,0.701
90951,2:0,2:0,,0.799
90952,2:0,2:0,,0.558
90953,2:0,2:0,,0.845
90954,2:0,1:1,+,0.74
90955,2:0,2:0,,0.587
90956,2:0,2:0,,0.81
90957,2:0,2:0,,0.76
90958,2:0,1:1,+,0.609
90959,2:0,2:0,,0.645
90960,2:0,1:1,+,0.597
90961,2:0,2:0,,0.785
90962,2:0,2:0,,0.776
90963,2:0,2:0,,0.764
90964,2:0,2:0,,0.807
90965,2:0,2:0,,0.755
90966,2:0,2:0,,0.826
90967,2:0,2:0,,0.799
90968,2:0,2:0,,0.794
90969,2:0,2:0,,0.86
90970,2:0,2:0,,0.824
90971,2:0,2:0,,0.901
90972,2:0,2:0,,0.828
90973,2:0,2:0,,0.813
90974,2:0,2:0,,0.617
90975,2:0,2:0,,0.896
90976,2:0,2:0,,0.783
90977,2:0,1:1,+,0.509
90978,2:0,2:0,,0.753
90979,2:0,2:0,,0.841
90980,2:0,2:0,,0.576
90981,2:0,2:0,,0.681
90982,2:0,2:0,,0.87
90983,2:0,2:0,,0.72
90984,2:0,2:0,,0.925
90985,2:0,2:0,,0.68
90986,2:0,2:0,,0.603
90987,2:0,2:0,,0.582
90988,2:0,2:0,,0.781
90989,2:0,2:0,,0.862
90990,2:0,2:0,,0.849
90991,2:0,2:0,,0.76
90992,2:0,2:0,,0.744
90993,2:0,2:0,,0.865
90994,2:0,2:0,,0.836
90995,2:0,2:0,,0.841
90996,2:0,2:0,,0.881
90997,2:0,2:0,,0.872
90998,2:0,2:0,,0.888
90999,2:0,2:0,,0.696
91000,2:0,2:0,,0.923
91001,2:0,1:1,+,0.605
91002,2:0,2:0,,0.808
91003,2:0,2:0,,0.812
91004,2:0,2:0,,0.573
91005,2:0,2:0,,0.805
91006,2:0,2:0,,0.82
91007,2:0,2:0,,0.877
91008,2:0,2:0,,0.808
91009,2:0,2:0,,0.861
91010,2:0,2:0,,0.578
91011,2:0,2:0,,0.755
91012,2:0,2:0,,0.952
91013,2:0,2:0,,0.808
91014,2:0,2:0,,0.741
91015,2:0,2:0,,0.793
91016,2:0,2:0,,0.892
91017,2:0,2:0,,0.571
91018,2:0,2:0,,0.583
91019,2:0,2:0,,0.714
91020,2:0,2:0,,0.882
91021,2:0,2:0,,0.748
91022,2:0,2:0,,0.832
91023,2:0,2:0,,0.901
91024,2:0,2:0,,0.775
91025,2:0,2:0,,0.564
91026,2:0,2:0,,0.874
91027,2:0,2:0,,0.761
91028,2:0,2:0,,0.935
91029,2:0,2:0,,0.934
91030,2:0,2:0,,0.907
91031,2:0,2:0,,0.841
91032,2:0,2:0,,0.831
91033,2:0,2:0,,0.627
91034,2:0,2:0,,0.799
91035,2:0,2:0,,0.801
91036,2:0,2:0,,0.738
91037,2:0,2:0,,0.797
91038,2:0,2:0,,0.877
91039,2:0,2:0,,0.585
91040,2:0,2:0,,0.872
91041,2:0,2:0,,0.771
91042,2:0,2:0,,0.794
91043,2:0,2:0,,0.908
91044,2:0,2:0,,0.877
91045,2:0,2:0,,0.937
91046,2:0,2:0,,0.83
91047,2:0,2:0,,0.569
91048,2:0,2:0,,0.716
91049,2:0,2:0,,0.664
91050,2:0,2:0,,0.52
91051,2:0,2:0,,0.55
91052,2:0,2:0,,0.898
91053,2:0,2:0,,0.847
91054,2:0,2:0,,0.918
91055,2:0,2:0,,0.832
91056,2:0,2:0,,0.784
91057,2:0,2:0,,0.875
91058,2:0,2:0,,0.685
91059,2:0,2:0,,0.795
91060,2:0,2:0,,0.668
91061,2:0,2:0,,0.733
91062,2:0,2:0,,0.887
91063,2:0,2:0,,0.893
91064,1:1,1:1,,0.634
91065,1:1,2:0,+,0.747
91066,1:1,1:1,,0.508
91067,1:1,2:0,+,0.706
91068,1:1,1:1,,0.564
91069,1:1,2:0,+,0.66
91070,1:1,1:1,,0.577
91071,1:1,2:0,+,0.737
91072,1:1,1:1,,0.8
91073,1:1,1:1,,0.736
91074,1:1,1:1,,0.761
91075,1:1,1:1,,0.77
91076,1:1,1:1,,0.806
91077,1:1,1:1,,0.818
91078,1:1,1:1,,0.564
91079,1:1,1:1,,0.746
91080,1:1,1:1,,0.799
91081,1:1,1:1,,0.806
91082,1:1,1:1,,0.823
91083,1:1,1:1,,0.835
91084,1:1,1:1,,0.6
91085,1:1,1:1,,0.772
91086,1:1,1:1,,0.826
91087,1:1,1:1,,0.825
91088,1:1,1:1,,0.833
91089,1:1,1:1,,0.841
91090,1:1,1:1,,0.656
91091,1:1,1:1,,0.793
91092,1:1,1:1,,0.836
91093,1:1,1:1,,0.831
91094,1:1,1:1,,0.838
91095,1:1,1:1,,0.832
91096,1:1,1:1,,0.593
91097,1:1,1:1,,0.816
91098,1:1,1:1,,0.84
91099,1:1,1:1,,0.839
91100,1:1,1:1,,0.839
91101,1:1,1:1,,0.832
91102,1:1,1:1,,0.586
91103,1:1,1:1,,0.818
91104,1:1,1:1,,0.838
91105,1:1,1:1,,0.837
91106,1:1,1:1,,0.839
91107,1:1,1:1,,0.819
91108,1:1,1:1,,0.598
91109,1:1,1:1,,0.814
91110,1:1,1:1,,0.837
91111,1:1,1:1,,0.837
91112,1:1,1:1,,0.839
91113,1:1,1:1,,0.819
91114,1:1,1:1,,0.593
91115,1:1,1:1,,0.813
91116,1:1,1:1,,0.838
91117,1:1,1:1,,0.834
91118,1:1,1:1,,0.84
91119,1:1,1:1,,0.822
91120,1:1,1:1,,0.597
91121,1:1,1:1,,0.816
91122,1:1,1:1,,0.838
91123,1:1,1:1,,0.836
91124,1:1,1:1,,0.84
91125,1:1,1:1,,0.821
91126,1:1,1:1,,0.592
91127,1:1,1:1,,0.813
91128,1:1,1:1,,0.836
91129,1:1,1:1,,0.832
91130,1:1,1:1,,0.84
91131,1:1,1:1,,0.828
91132,1:1,1:1,,0.592
91133,1:1,1:1,,0.812
91134,1:1,1:1,,0.837
91135,1:1,1:1,,0.835
91136,1:1,1:1,,0.84
91137,1:1,1:1,,0.824
91138,1:1,1:1,,0.599
91139,1:1,1:1,,0.798
91140,1:1,1:1,,0.836
91141,1:1,1:1,,0.833
91142,1:1,1:1,,0.84
91143,1:1,1:1,,0.823
91144,1:1,1:1,,0.59
91145,1:1,1:1,,0.791
91146,1:1,1:1,,0.836
91147,1:1,1:1,,0.83
91148,1:1,1:1,,0.839
91149,1:1,1:1,,0.809
91150,1:1,1:1,,0.592
91151,1:1,1:1,,0.806
91152,1:1,1:1,,0.836
91153,1:1,1:1,,0.83
91154,1:1,1:1,,0.84
91155,1:1,1:1,,0.825
91156,1:1,1:1,,0.591
91157,1:1,1:1,,0.8
91158,1:1,1:1,,0.836
91159,1:1,1:1,,0.829
91160,1:1,1:1,,0.838
91161,1:1,1:1,,0.819
91162,1:1,1:1,,0.588
91163,1:1,1:1,,0.786
91164,1:1,1:1,,0.833
91165,1:1,1:1,,0.832
91166,1:1,1:1,,0.839
91167,1:1,1:1,,0.812
91168,1:1,1:1,,0.587
91169,1:1,1:1,,0.779
91170,1:1,1:1,,0.83
91171,1:1,1:1,,0.827
91172,1:1,1:1,,0.839
91173,1:1,1:1,,0.803
91174,1:1,1:1,,0.586
91175,1:1,1:1,,0.794
91176,1:1,1:1,,0.834
91177,1:1,1:1,,0.829
91178,1:1,1:1,,0.838
91179,1:1,1:1,,0.811
91180,1:1,1:1,,0.588
91181,1:1,1:1,,0.772
91182,1:1,1:1,,0.831
91183,1:1,1:1,,0.825
91184,1:1,1:1,,0.836
91185,1:1,1:1,,0.82
91186,1:1,1:1,,0.586
91187,1:1,1:1,,0.779
91188,1:1,1:1,,0.832
91189,1:1,1:1,,0.827
91190,1:1,1:1,,0.837
91191,1:1,1:1,,0.821
91192,1:1,1:1,,0.585
91193,1:1,1:1,,0.786
91194,1:1,1:1,,0.832
91195,1:1,1:1,,0.836
91196,1:1,1:1,,0.834
91197,1:1,1:1,,0.819
91198,1:1,1:1,,0.585
91199,1:1,1:1,,0.757
91200,1:1,1:1,,0.829
91201,1:1,1:1,,0.821
91202,1:1,1:1,,0.834
91203,1:1,1:1,,0.812
91204,1:1,1:1,,0.584
91205,1:1,1:1,,0.757
91206,1:1,1:1,,0.83
91207,1:1,1:1,,0.826
91208,1:1,1:1,,0.836
91209,1:1,1:1,,0.809
91210,1:1,1:1,,0.584
91211,1:1,1:1,,0.755
91212,1:1,1:1,,0.827
91213,1:1,1:1,,0.824
91214,1:1,1:1,,0.832
91215,1:1,1:1,,0.802
91216,1:1,1:1,,0.582
91217,1:1,1:1,,0.748
91218,1:1,1:1,,0.824
91219,1:1,1:1,,0.823
91220,1:1,1:1,,0.831
91221,1:1,1:1,,0.805
91222,1:1,1:1,,0.582
91223,1:1,1:1,,0.74
91224,1:1,1:1,,0.822
91225,1:1,1:1,,0.825
91226,1:1,1:1,,0.833
91227,1:1,1:1,,0.806
91228,1:1,1:1,,0.582
91229,1:1,1:1,,0.752
91230,1:1,1:1,,0.821
91231,1:1,1:1,,0.821
91232,1:1,1:1,,0.832
91233,1:1,1:1,,0.797
91234,1:1,1:1,,0.582
91235,1:1,1:1,,0.723
91236,1:1,1:1,,0.822
91237,1:1,1:1,,0.82
91238,1:1,1:1,,0.827
91239,1:1,1:1,,0.792
91240,1:1,1:1,,0.581
91241,1:1,1:1,,0.741
91242,1:1,1:1,,0.818
91243,1:1,1:1,,0.814
91244,1:1,1:1,,0.829
91245,1:1,1:1,,0.802
91246,1:1,1:1,,0.579
91247,1:1,1:1,,0.711
91248,1:1,1:1,,0.817
91249,1:1,1:1,,0.813
91250,1:1,1:1,,0.831
91251,1:1,1:1,,0.795
91252,1:1,1:1,,0.578
91253,1:1,1:1,,0.715
91254,1:1,1:1,,0.818
91255,1:1,1:1,,0.805
91256,1:1,1:1,,0.821
91257,1:1,1:1,,0.778
91258,1:1,1:1,,0.577
91259,1:1,1:1,,0.697
91260,1:1,1:1,,0.811
91261,1:1,1:1,,0.813
91262,1:1,1:1,,0.82
91263,1:1,1:1,,0.791
91264,1:1,1:1,,0.574
91265,1:1,1:1,,0.696
91266,1:1,1:1,,0.816
91267,1:1,1:1,,0.807
91268,1:1,1:1,,0.818
91269,1:1,1:1,,0.76
91270,1:1,1:1,,0.573
91271,1:1,1:1,,0.691
91272,1:1,1:1,,0.806
91273,1:1,1:1,,0.791
91274,1:1,1:1,,0.815
91275,1:1,1:1,,0.794
91276,1:1,1:1,,0.557
91277,1:1,1:1,,0.676
91278,1:1,1:1,,0.801
91279,1:1,1:1,,0.794
91280,1:1,1:1,,0.813
91281,1:1,1:1,,0.769
91282,1:1,1:1,,0.569
91283,1:1,1:1,,0.668
91284,1:1,1:1,,0.801
91285,1:1,1:1,,0.797
91286,1:1,1:1,,0.818
91287,1:1,1:1,,0.779
91288,1:1,1:1,,0.542
91289,1:1,1:1,,0.673
91290,1:1,1:1,,0.805
91291,1:1,1:1,,0.795
91292,1:1,1:1,,0.806
91293,1:1,1:1,,0.778
91294,1:1,1:1,,0.562
91295,1:1,1:1,,0.663
91296,1:1,1:1,,0.785
91297,1:1,1:1,,0.791
91298,1:1,1:1,,0.801
91299,1:1,1:1,,0.79
91300,1:1,1:1,,0.562
91301,1:1,1:1,,0.654
91302,1:1,1:1,,0.792
91303,1:1,1:1,,0.786
91304,1:1,1:1,,0.79
91305,1:1,1:1,,0.771
